source_warehouse,destination_warehouse,shipment_count,total_weight_kg,total_volume_m3,distance_km,decision,vehicle_id,vehicle_capacity_kg,vehicle_volume_capacity_m3,weight_utilization,volume_utilization,overall_utilization,separate_cost,consolidated_cost,savings,savings_percentage
WH01,WH02,5,802.46,19.524,35.0,CONSOLIDATE,VEH025,2000.0,25.0,0.40123000000000003,0.78096,0.591095,2149.87714987715,429.97542997542996,1719.9017199017198,80.0
WH01,WH03,1,203.22,3.573,145.0,SEPARATE_TRIPS,VEH025,2000.0,25.0,0.10161,0.14292,0.122265,1781.3267813267814,1781.3267813267814,0.0,0.0
WH01,WH04,1,14.55,6.555,350.0,SEPARATE_TRIPS,VEH025,2000.0,25.0,0.007275,0.2622,0.13473749999999998,4299.7542997543,4299.7542997543,0.0,0.0
WH01,WH05,1,50.64,1.036,575.0,SEPARATE_TRIPS,VEH025,2000.0,25.0,0.02532,0.041440000000000005,0.03338,7063.882063882063,7063.882063882063,0.0,0.0
WH02,WH01,1,33.96,3.816,35.0,SEPARATE_TRIPS,VEH004,1000.0,10.0,0.033960000000000004,0.3816,0.20778,230.11176857330705,230.11176857330705,0.0,0.0
WH02,WH03,1,258.3,1.005,125.0,SEPARATE_TRIPS,VEH004,1000.0,10.0,0.25830000000000003,0.10049999999999999,0.1794,821.827744904668,821.827744904668,0.0,0.0
WH02,WH04,2,159.44,2.8080000000000003,335.0,CONSOLIDATE,VEH004,1000.0,10.0,0.15944,0.28080000000000005,0.22012000000000004,4404.996712689021,2202.4983563445103,2202.4983563445103,50.0
WH03,WH01,1,122.94,2.799,145.0,SEPARATE_TRIPS,VEH001,1000.0,10.0,0.12294,0.2799,0.20142,1342.5925925925926,1342.5925925925926,0.0,0.0
WH03,WH02,2,53.040000000000006,4.214,125.0,CONSOLIDATE,VEH001,1000.0,10.0,0.053040000000000004,0.42140000000000005,0.23722000000000004,2314.8148148148143,1157.4074074074072,1157.4074074074072,50.0
WH03,WH04,1,12.78,2.997,430.0,SEPARATE_TRIPS,VEH001,1000.0,10.0,0.01278,0.29969999999999997,0.15624,3981.481481481481,3981.481481481481,0.0,0.0
WH03,WH05,1,307.58,6.396,700.0,SEPARATE_TRIPS,VEH001,1000.0,10.0,0.30757999999999996,0.6396,0.47358999999999996,6481.481481481481,6481.481481481481,0.0,0.0
WH04,WH02,1,38.7,2.03,335.0,SEPARATE_TRIPS,VEH031,1000.0,10.0,0.038700000000000005,0.20299999999999999,0.12085,1967.116852613036,1967.116852613036,0.0,0.0
WH04,WH03,2,238.82,3.009,430.0,CONSOLIDATE,VEH031,1000.0,10.0,0.23882,0.3009,0.26986,5049.911920140928,2524.955960070464,2524.955960070464,50.0
WH04,WH05,1,44.46,1.854,630.0,SEPARATE_TRIPS,VEH031,1000.0,10.0,0.04446,0.1854,0.11493,3699.35408103347,3699.35408103347,0.0,0.0
WH05,WH01,1,110.52,2.208,575.0,SEPARATE_TRIPS,VEH040,5000.0,50.0,0.022104,0.044160000000000005,0.033132,3398.3451536643024,3398.3451536643024,0.0,0.0
WH05,WH02,4,653.2399999999999,9.178,560.0,CONSOLIDATE,VEH040,5000.0,50.0,0.130648,0.18356000000000003,0.15710400000000002,13238.770685579195,3309.6926713947987,9929.078014184397,75.00000000000001
WH05,WH03,3,138.71,2.137,700.0,CONSOLIDATE,VEH040,5000.0,50.0,0.027742000000000003,0.04274,0.035241,12411.347517730494,4137.115839243498,8274.231678486994,66.66666666666666
WH05,WH04,1,89.28,1.308,630.0,SEPARATE_TRIPS,VEH040,5000.0,50.0,0.017856,0.026160000000000003,0.022008,3723.4042553191484,3723.4042553191484,0.0,0.0
