dispatch_type,source,destination,transfer_id,priority,deadline_days,weight_kg,volume_m3,vehicle_id,weight_utilization,volume_utilization,overall_utilization,fuel_litres,fuel_cost,decision,transfer_ids,transfer_count
URGENT_DISPATCH,WH01,WH02,TRF00002,MEDIUM,1.0,261.8,1.32,VEH025,0.13090000000000002,0.0528,0.09185000000000001,4.2997542997543,429.97542997542996,DISPATCH,,
CONSOLIDATED_DISPATCH,WH01,WH02,,,,540.66,18.204,VEH025,0.27032999999999996,0.72816,0.499245,4.2997542997543,429.97542997542996,CONSOLIDATE,"TRF00001,TRF00007,TRF00024,TRF00030",4.0
URGENT_DISPATCH,WH01,WH03,TRF00003,MEDIUM,1.0,203.22,3.573,VEH025,0.10161,0.14292,0.122265,17.813267813267814,1781.3267813267814,DISPATCH,,
URGENT_DISPATCH,WH01,WH04,TRF00025,LOW,1.0,14.55,6.555,VEH025,0.007275,0.2622,0.13473749999999998,42.99754299754299,4299.7542997543,DISPATCH,,
CONSOLIDATED_DISPATCH,WH01,WH05,,,,50.64,1.036,VEH025,0.02532,0.041440000000000005,0.03338,70.63882063882063,7063.882063882063,SEPARATE_TRIPS,TRF00009,1.0
URGENT_DISPATCH,WH02,WH01,TRF00016,MEDIUM,1.0,33.96,3.816,VEH004,0.033960000000000004,0.3816,0.20778,2.3011176857330704,230.11176857330705,DISPATCH,,
CONSOLIDATED_DISPATCH,WH02,WH03,,,,258.3,1.005,VEH004,0.25830000000000003,0.10049999999999999,0.1794,8.21827744904668,821.827744904668,SEPARATE_TRIPS,TRF00022,1.0
CONSOLIDATED_DISPATCH,WH02,WH04,,,,159.44,2.8080000000000003,VEH004,0.15944,0.28080000000000005,0.22012000000000004,22.0249835634451,2202.4983563445103,CONSOLIDATE,"TRF00013,TRF00017",2.0
CONSOLIDATED_DISPATCH,WH03,WH01,,,,122.94,2.799,VEH001,0.12294,0.2799,0.20142,13.425925925925926,1342.5925925925926,CONSOLIDATE,TRF00011,1.0
CONSOLIDATED_DISPATCH,WH03,WH02,,,,53.040000000000006,4.214,VEH001,0.053040000000000004,0.42140000000000005,0.23722000000000004,11.574074074074073,1157.4074074074072,CONSOLIDATE,"TRF00010,TRF00026",2.0
CONSOLIDATED_DISPATCH,WH03,WH04,,,,12.78,2.997,VEH001,0.01278,0.29969999999999997,0.15624,39.81481481481481,3981.481481481481,SEPARATE_TRIPS,TRF00029,1.0
CONSOLIDATED_DISPATCH,WH03,WH05,,,,307.58,6.396,VEH001,0.30757999999999996,0.6396,0.47358999999999996,64.81481481481481,6481.481481481481,CONSOLIDATE,TRF00012,1.0
CONSOLIDATED_DISPATCH,WH04,WH02,,,,38.7,2.03,VEH031,0.038700000000000005,0.20299999999999999,0.12085,19.67116852613036,1967.116852613036,SEPARATE_TRIPS,TRF00018,1.0
CONSOLIDATED_DISPATCH,WH04,WH03,,,,238.82,3.009,VEH031,0.23882,0.3009,0.26986,25.249559600704636,2524.955960070464,CONSOLIDATE,"TRF00020,TRF00006",2.0
CONSOLIDATED_DISPATCH,WH04,WH05,,,,44.46,1.854,VEH031,0.04446,0.1854,0.11493,36.9935408103347,3699.35408103347,SEPARATE_TRIPS,TRF00023,1.0
URGENT_DISPATCH,WH05,WH01,TRF00028,MEDIUM,1.0,110.52,2.208,VEH040,0.022104,0.044160000000000005,0.033132,33.983451536643024,3398.3451536643024,DISPATCH,,
URGENT_DISPATCH,WH05,WH02,TRF00015,HIGH,1.0,194.16,4.692,VEH040,0.038832,0.09384,0.066336,33.09692671394799,3309.6926713947987,DISPATCH,,
CONSOLIDATED_DISPATCH,WH05,WH02,,,,459.08000000000004,4.486,VEH040,0.09181600000000001,0.08972,0.090768,33.09692671394799,3309.6926713947987,CONSOLIDATE,"TRF00027,TRF00004,TRF00014",3.0
CONSOLIDATED_DISPATCH,WH05,WH03,,,,138.71,2.137,VEH040,0.027742000000000003,0.04274,0.035241,41.371158392434985,4137.115839243498,CONSOLIDATE,"TRF00005,TRF00008,TRF00019",3.0
URGENT_DISPATCH,WH05,WH04,TRF00021,MEDIUM,1.0,89.28,1.308,VEH040,0.017856,0.026160000000000003,0.022008,37.234042553191486,3723.4042553191484,DISPATCH,,
