decision,transfer_ids,route,vehicle_id,vehicle_capacity_kg,vehicle_volume_m3,shipment_weight_kg,shipment_volume_m3,weight_utilization_pct,volume_utilization_pct,overall_utilization_pct,distance_km,fuel_litres,fuel_cost,reason
URGENT_SEPARATE,TRF00015,WH05 → WH02 → WH05,VEH040,5000,50,194.16,4.692,3.8832,9.384,6.6336,1120.0,66.19385342789597,6619.385342789597,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,TRF00002,WH01 → WH02 → WH01,VEH025,2000,25,261.8,1.32,13.090000000000002,5.28,9.185000000000002,70.0,8.5995085995086,859.9508599508599,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,TRF00016,WH02 → WH01 → WH02,VEH004,1000,10,33.96,3.816,3.3960000000000004,38.16,20.778,70.0,4.602235371466141,460.2235371466141,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,TRF00021,WH05 → WH04 → WH05,VEH017,5000,50,89.28,1.308,1.7856,2.616,2.2008,1260.0,104.82529118136439,10482.52911813644,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,TRF00020,WH04 → WH03 → WH04,VEH031,1000,10,214.92,1.359,21.492,13.59,17.541,860.0,50.49911920140927,5049.911920140928,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,TRF00026,WH03 → WH02 → WH03,VEH001,1000,10,52.2,3.15,5.220000000000001,31.5,18.360000000000003,250.0,23.148148148148145,2314.8148148148143,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,TRF00011,WH03 → WH01 → WH03,VEH024,5000,50,122.94,2.799,2.4588,5.598,4.0284,290.0,28.855721393034823,2885.5721393034823,Urgent shipment protected from consolidation delay.
CONSOLIDATE,TRF00022,WH02 → WH03 → WH02,VEH021,5000,50,258.3,1.005,5.166,2.01,3.588,250.0,22.281639928698752,2228.163992869875,LOW_UTILIZATION_BUT_FEASIBLE
CONSOLIDATE,"TRF00013,TRF00017",WH02 → WH04 → WH02,VEH020,500,5,159.44,2.8080000000000003,31.887999999999998,56.16000000000001,44.02400000000001,670.0,66.66666666666666,6666.666666666666,BEST_FIT_VEHICLE
CONSOLIDATE,TRF00010,WH03 → WH02 → WH03,VEH038,5000,50,0.84,1.064,0.0168,2.128,1.0724,250.0,29.13752913752914,2913.752913752914,LOW_UTILIZATION_BUT_FEASIBLE
CONSOLIDATE,TRF00029,WH03 → WH04 → WH03,VEH022,500,5,12.78,2.997,2.556,59.93999999999999,31.247999999999998,860.0,115.28150134048258,11528.150134048257,LOW_UTILIZATION_BUT_FEASIBLE
CONSOLIDATE,TRF00012,WH03 → WH05 → WH03,VEH008,5000,50,307.58,6.396,6.151599999999999,12.792,9.4718,1400.0,196.90576652601968,19690.57665260197,LOW_UTILIZATION_BUT_FEASIBLE
CONSOLIDATE,TRF00018,WH04 → WH02 → WH04,VEH030,5000,50,38.7,2.03,0.774,4.06,2.417,670.0,40.095751047277076,4009.5751047277076,LOW_UTILIZATION_BUT_FEASIBLE
CONSOLIDATE,TRF00006,WH04 → WH03 → WH04,VEH036,500,5,23.9,1.65,4.779999999999999,32.99999999999999,18.889999999999997,860.0,55.41237113402062,5541.237113402061,LOW_UTILIZATION_BUT_FEASIBLE
CONSOLIDATE,TRF00023,WH04 → WH05 → WH04,VEH026,500,5,44.46,1.854,8.892,37.08,22.986,1260.0,110.91549295774648,11091.549295774648,LOW_UTILIZATION_BUT_FEASIBLE
