decision,transfer_ids,route,vehicle_id,vehicle_capacity_kg,vehicle_volume_m3,shipment_weight_kg,shipment_volume_m3,weight_utilization_pct,volume_utilization_pct,overall_utilization_pct,fuel_efficiency_kmpl,distance_km,route_time_hours,departure_hour,arrival_hour,return_hour,fuel_litres,fuel_cost,deadline_days,deadline_status
URGENT_SEPARATE,TRF00015,WH05 → WH02 → WH05,VEH040,5000.0,50.0,194.16,4.692,3.8832,9.384,6.6336,16.92,1120.0,28.0,0.0,28.0,56.0,66.19385342789597,6619.385342789597,1.0,AT_RISK
URGENT_SEPARATE,TRF00002,WH01 → WH02 → WH01,VEH025,2000.0,25.0,261.8,1.32,13.090000000000002,5.28,9.185000000000002,8.14,70.0,1.75,0.0,1.75,3.5,8.5995085995086,859.9508599508599,1.0,ON_TIME
URGENT_SEPARATE,TRF00003,WH01 → WH03 → WH01,VEH025,2000.0,25.0,203.22,3.573,10.161000000000001,14.292,12.2265,8.14,290.0,7.25,3.5,10.75,18.0,35.62653562653563,3562.653562653563,1.0,ON_TIME
URGENT_SEPARATE,TRF00016,WH02 → WH01 → WH02,VEH004,1000.0,10.0,33.96,3.816,3.3960000000000004,38.16,20.778,15.21,70.0,1.75,0.0,1.75,3.5,4.602235371466141,460.2235371466141,1.0,ON_TIME
URGENT_SEPARATE,TRF00021,WH05 → WH04 → WH05,VEH017,5000.0,50.0,89.28,1.308,1.7856,2.616,2.2008,12.02,1260.0,31.5,0.0,31.5,63.0,104.82529118136439,10482.52911813644,1.0,MISSED_DEADLINE
URGENT_SEPARATE,TRF00028,WH05 → WH01 → WH05,VEH040,5000.0,50.0,110.52,2.208,2.2104,4.416,3.3132,16.92,1150.0,28.75,56.0,84.75,113.5,67.96690307328605,6796.690307328605,1.0,MISSED_DEADLINE
URGENT_SEPARATE,TRF00025,WH01 → WH04 → WH01,VEH025,2000.0,25.0,14.55,6.555,0.7275,26.22,13.473749999999999,8.14,700.0,17.5,18.0,35.5,53.0,85.99508599508599,8599.5085995086,1.0,MISSED_DEADLINE
URGENT_SEPARATE,TRF00020,WH04 → WH03 → WH04,VEH031,1000.0,10.0,214.92,1.359,21.492,13.59,17.541,17.03,860.0,21.5,0.0,21.5,43.0,50.49911920140927,5049.911920140928,2.0,ON_TIME
URGENT_SEPARATE,TRF00026,WH03 → WH02 → WH03,VEH001,1000.0,10.0,52.2,3.15,5.220000000000001,31.5,18.360000000000003,10.8,250.0,6.25,0.0,6.25,12.5,23.148148148148145,2314.8148148148143,3.0,ON_TIME
URGENT_SEPARATE,TRF00011,WH03 → WH01 → WH03,VEH024,5000.0,50.0,122.94,2.799,2.4588,5.598,4.0284,10.05,290.0,7.25,0.0,7.25,14.5,28.855721393034823,2885.5721393034823,4.0,ON_TIME
URGENT_SEPARATE,TRF00030,WH01 → WH02 → WH01,VEH025,2000.0,25.0,17.0,6.29,0.8500000000000001,25.16,13.004999999999999,8.14,70.0,1.75,53.0,54.75,56.5,8.5995085995086,859.9508599508599,5.0,ON_TIME
SEPARATE,TRF00001,WH01 → WH02 → WH01,VEH025,2000.0,25.0,106.4,3.1,5.32,12.4,8.86,8.14,70.0,1.75,56.5,58.25,60.0,8.5995085995086,859.9508599508599,2.0,MISSED_DEADLINE
CONSOLIDATE,TRF00009,WH01 → WH05 → WH01,VEH025,2000.0,25.0,50.64,1.036,2.532,4.144,3.338,8.14,1150.0,28.75,60.0,88.75,117.5,141.27764127764127,14127.764127764127,5.0,ON_TIME
CONSOLIDATE,TRF00022,WH02 → WH03 → WH02,VEH021,5000.0,50.0,258.3,1.005,5.166,2.01,3.588,11.22,250.0,6.25,0.0,6.25,12.5,22.281639928698752,2228.163992869875,4.0,ON_TIME
CONSOLIDATE,"TRF00013,TRF00017",WH02 → WH04 → WH02,VEH020,500.0,5.0,159.44,2.8080000000000003,31.887999999999998,56.16000000000001,44.02400000000001,10.05,670.0,16.75,0.0,16.75,33.5,66.66666666666666,6666.666666666666,2.0,ON_TIME
CONSOLIDATE,TRF00010,WH03 → WH02 → WH03,VEH038,5000.0,50.0,0.84,1.064,0.0168,2.128,1.0724,8.58,250.0,6.25,0.0,6.25,12.5,29.13752913752914,2913.752913752914,2.0,ON_TIME
CONSOLIDATE,TRF00029,WH03 → WH04 → WH03,VEH022,500.0,5.0,12.78,2.997,2.556,59.93999999999999,31.247999999999998,7.46,860.0,21.5,0.0,21.5,43.0,115.28150134048258,11528.150134048257,5.0,ON_TIME
CONSOLIDATE,TRF00012,WH03 → WH05 → WH03,VEH008,5000.0,50.0,307.58,6.396,6.151599999999999,12.792,9.4718,7.11,1400.0,35.0,0.0,35.0,70.0,196.90576652601968,19690.57665260197,3.0,ON_TIME
CONSOLIDATE,TRF00018,WH04 → WH02 → WH04,VEH030,5000.0,50.0,38.7,2.03,0.774,4.06,2.417,16.71,670.0,16.75,0.0,16.75,33.5,40.095751047277076,4009.5751047277076,5.0,ON_TIME
CONSOLIDATE,TRF00006,WH04 → WH03 → WH04,VEH036,500.0,5.0,23.9,1.65,4.779999999999999,32.99999999999999,18.889999999999997,15.52,860.0,21.5,0.0,21.5,43.0,55.41237113402062,5541.237113402061,3.0,ON_TIME
CONSOLIDATE,TRF00023,WH04 → WH05 → WH04,VEH026,500.0,5.0,44.46,1.854,8.892,37.08,22.986,11.36,1260.0,31.5,0.0,31.5,63.0,110.91549295774648,11091.549295774648,5.0,ON_TIME
SEPARATE,TRF00027,WH05 → WH02 → WH05,VEH017,5000.0,50.0,119.04,0.672,2.3808000000000002,1.344,1.8624,12.02,1120.0,28.0,63.0,91.0,119.0,93.17803660565724,9317.803660565723,2.0,MISSED_DEADLINE
SEPARATE,TRF00005,WH05 → WH03 → WH05,VEH040,5000.0,50.0,6.6,0.49,0.132,0.98,0.5559999999999999,16.92,1400.0,35.0,113.5,148.5,183.5,82.74231678486997,8274.231678486996,2.0,MISSED_DEADLINE
FLEET_FALLBACK,TRF00014,WH05 → WH02 → WH05,VEH017,5000.0,50.0,140.35,3.073,2.807,6.146,4.4765,12.02,1120.0,28.0,119.0,147.0,175.0,93.17803660565724,9317.803660565723,3.0,MISSED_DEADLINE
FLEET_FALLBACK,TRF00024,WH01 → WH02 → WH01,VEH025,2000.0,25.0,240.16,3.116,12.008,12.464,12.235999999999999,8.14,70.0,1.75,117.5,119.25,121.0,8.5995085995086,859.9508599508599,3.0,MISSED_DEADLINE
FLEET_FALLBACK,TRF00007,WH01 → WH02 → WH01,VEH025,2000.0,25.0,177.1,5.698,8.855,22.792,15.823500000000001,8.14,70.0,1.75,121.0,122.75,124.5,8.5995085995086,859.9508599508599,3.0,MISSED_DEADLINE
FLEET_FALLBACK,TRF00004,WH05 → WH02 → WH05,VEH017,5000.0,50.0,199.69,0.741,3.9938000000000002,1.482,2.7379000000000002,12.02,1120.0,28.0,175.0,203.0,231.0,93.17803660565724,9317.803660565723,4.0,MISSED_DEADLINE
FLEET_FALLBACK,TRF00008,WH05 → WH03 → WH05,VEH040,5000.0,50.0,25.71,0.087,0.5142,0.174,0.34409999999999996,16.92,1400.0,35.0,183.5,218.5,253.5,82.74231678486997,8274.231678486996,5.0,MISSED_DEADLINE
FLEET_FALLBACK,TRF00019,WH05 → WH03 → WH05,VEH017,5000.0,50.0,106.4,1.56,2.128,3.12,2.624,12.02,1400.0,35.0,231.0,266.0,301.0,116.47254575707156,11647.254575707157,5.0,MISSED_DEADLINE
