transfer_id,source,destination,route,vehicle_id,weight_kg,volume_m3,distance_km,route_hours,fuel_litres,fuel_cost,weight_utilization,volume_utilization,overall_utilization,deadline_days,deadline_status,score
TRF00020,WH04,WH03,WH04 → WH03 → WH04,VEH031,214.92,1.359,860.0,22.0,50.49911920140927,5049.911920140928,0.21492,0.1359,0.17541,2.0,ON_TIME,5083.288920140928
TRF00026,WH03,WH02,WH03 → WH02 → WH03,VEH001,52.2,3.15,250.0,6.75,23.148148148148145,2314.8148148148143,0.0522,0.315,0.1836,3.0,ON_TIME,2284.7348148148144
TRF00011,WH03,WH01,WH03 → WH01 → WH03,VEH001,122.94,2.799,290.0,7.75,26.85185185185185,2685.185185185185,0.12294,0.2799,0.20142,4.0,ON_TIME,2653.7591851851853
TRF00030,WH01,WH02,WH01 → WH02 → WH01,VEH025,17.0,6.29,70.0,2.25,8.5995085995086,859.9508599508599,0.0085,0.2516,0.13005,5.0,ON_TIME,827.9358599508599
TRF00002,WH01,WH02,WH01 → WH02 → WH01,VEH025,261.8,1.32,70.0,2.25,8.5995085995086,859.9508599508599,0.13090000000000002,0.0528,0.09185000000000001,1.0,ON_TIME,839.39585995086
TRF00003,WH01,WH03,WH01 → WH03 → WH01,VEH025,203.22,3.573,290.0,7.75,35.62653562653563,3562.653562653563,0.10161,0.14292,0.122265,1.0,ON_TIME,3554.9740626535627
TRF00016,WH02,WH01,WH02 → WH01 → WH02,VEH004,33.96,3.816,70.0,2.25,4.602235371466141,460.2235371466141,0.033960000000000004,0.3816,0.20778,1.0,ON_TIME,404.8895371466141
TRF00013,WH02,WH04,WH02 → WH04 → WH02,VEH004,30.16,0.224,670.0,17.25,44.0499671268902,4404.996712689021,0.03016,0.0224,0.026279999999999998,2.0,ON_TIME,4464.112712689021
TRF00024,WH01,WH02,WH01 → WH02 → WH01,VEH025,240.16,3.116,70.0,2.25,8.5995085995086,859.9508599508599,0.12007999999999999,0.12464,0.12236,3.0,ON_TIME,830.24285995086
TRF00017,WH02,WH04,WH02 → WH04 → WH02,VEH004,129.28,2.584,670.0,17.25,44.0499671268902,4404.996712689021,0.12928,0.2584,0.19384,4.0,ON_TIME,4413.8447126890205
TRF00022,WH02,WH03,WH02 → WH03 → WH02,VEH004,258.3,1.005,250.0,6.75,16.43655489809336,1643.655489809336,0.25830000000000003,0.10049999999999999,0.1794,4.0,ON_TIME,1614.835489809336
TRF00025,WH01,WH04,WH01 → WH04 → WH01,VEH025,14.55,6.555,700.0,18.0,85.99508599508599,8599.5085995086,0.007275,0.2622,0.13473749999999998,1.0,ON_TIME,8629.0873495086
TRF00001,WH01,WH02,WH01 → WH02 → WH01,VEH025,106.4,3.1,70.0,2.25,8.5995085995086,859.9508599508599,0.053200000000000004,0.124,0.0886,2.0,ON_TIME,840.3708599508599
TRF00010,WH03,WH02,WH03 → WH02 → WH03,VEH001,0.84,1.064,250.0,6.75,23.148148148148145,2314.8148148148143,0.0008399999999999999,0.10640000000000001,0.05362,2.0,ON_TIME,2323.7288148148145
TRF00006,WH04,WH03,WH04 → WH03 → WH04,VEH031,23.9,1.65,860.0,22.0,50.49911920140927,5049.911920140928,0.023899999999999998,0.16499999999999998,0.09444999999999999,3.0,ON_TIME,5107.5769201409275
TRF00007,WH01,WH02,WH01 → WH02 → WH01,VEH025,177.1,5.698,70.0,2.25,8.5995085995086,859.9508599508599,0.08855,0.22792,0.15823500000000001,3.0,ON_TIME,819.4803599508599
TRF00018,WH04,WH02,WH04 → WH02 → WH04,VEH031,38.7,2.03,670.0,17.25,39.34233705226072,3934.233705226072,0.038700000000000005,0.20299999999999999,0.12085,5.0,ON_TIME,3964.9787052260717
TRF00029,WH03,WH04,WH03 → WH04 → WH03,VEH001,12.78,2.997,860.0,22.0,79.62962962962962,7962.962962962962,0.01278,0.29969999999999997,0.15624,5.0,ON_TIME,8002.090962962961
