customer_id,city,previous_orders,average_order_value
CUS000001,Mysore,6,2078.75
CUS000002,Bangalore,6,2996.67
CUS000003,Hyderabad,7,3762.45
CUS000004,Chennai,5,1615.03
CUS000005,Chennai,8,1384.61
CUS000006,Tumkur,13,1803.05
CUS000007,Mysore,4,1436.09
CUS000008,Mysore,7,3067.32
CUS000009,Pune,5,1188.43
CUS000010,Bangalore,9,1549.04
CUS000011,Bangalore,8,889.47
CUS000012,Mysore,7,3044.97
CUS000013,Chennai,12,1486.15
CUS000014,Chennai,5,869.78
CUS000015,Bangalore,10,1057.58
CUS000016,Chennai,4,1100.71
CUS000017,Pune,9,3646.04
CUS000018,Chennai,6,897.02
CUS000019,Delhi,6,1141.72
CUS000020,Hyderabad,9,3924.39
CUS000021,Bangalore,11,1286.9
CUS000022,Tumkur,4,2030.68
CUS000023,Pune,3,3055.42
CUS000024,Mumbai,9,3507.13
CUS000025,Hyderabad,11,1117.1
CUS000026,Tumkur,7,2947.14
CUS000027,Chennai,14,1861.44
CUS000028,Mumbai,18,1020.98
CUS000029,Mysore,5,1469.58
CUS000030,Mysore,6,1882.02
CUS000031,Pune,8,3053.4
CUS000032,Mysore,3,1320.43
CUS000033,Mumbai,10,5224.31
CUS000034,Mumbai,5,3029.74
CUS000035,Hyderabad,5,357.58
CUS000036,Bangalore,6,1083.34
CUS000037,Delhi,7,2498.84
CUS000038,Mysore,10,1925.71
CUS000039,Pune,2,1417.69
CUS000040,Mysore,5,2005.8
CUS000041,Hyderabad,13,3930.14
CUS000042,Mumbai,8,1451.34
CUS000043,Chennai,10,2658.03
CUS000044,Mysore,7,2523.82
CUS000045,Bangalore,5,1455.85
CUS000046,Chennai,10,2002.02
CUS000047,Hyderabad,7,1791.38
CUS000048,Mysore,5,1565.05
CUS000049,Chennai,6,1872.12
CUS000050,Mysore,11,2956.47
CUS000051,Pune,9,694.82
CUS000052,Hyderabad,12,2167.3
CUS000053,Delhi,12,2058.42
CUS000054,Mumbai,13,2103.11
CUS000055,Tumkur,11,3806.72
CUS000056,Mumbai,3,2804.31
CUS000057,Mumbai,13,1570.75
CUS000058,Chennai,6,786.55
CUS000059,Hyderabad,4,2627.23
CUS000060,Mysore,5,1563.46
CUS000061,Tumkur,4,1370.84
CUS000062,Chennai,8,993.33
CUS000063,Tumkur,8,4115.37
CUS000064,Delhi,6,1596.36
CUS000065,Pune,5,1063.55
CUS000066,Hyderabad,8,1303.51
CUS000067,Chennai,8,1833.25
CUS000068,Mumbai,4,1926.93
CUS000069,Bangalore,6,2197.61
CUS000070,Chennai,10,1732.89
CUS000071,Bangalore,7,1749.28
CUS000072,Mumbai,4,986.82
CUS000073,Pune,13,1968.18
CUS000074,Hyderabad,7,1890.69
CUS000075,Mysore,10,709.53
CUS000076,Chennai,11,1516.63
CUS000077,Mumbai,8,3846.37
CUS000078,Chennai,8,2210.6
CUS000079,Delhi,10,1158.15
CUS000080,Pune,8,565.46
CUS000081,Delhi,11,1859.13
CUS000082,Tumkur,5,3124.71
