delivery_id,order_id,distance_km,traffic_level,estimated_time_min,actual_time_min,delivery_status
DEL0000001,ORD0000001,91.31,HIGH,156.53,271.61,SEVERELY_DELAYED
DEL0000002,ORD0000002,51.7,MEDIUM,88.63,110.76,DELAYED
DEL0000003,ORD0000003,70.33,MEDIUM,120.57,165.22,DELAYED
DEL0000004,ORD0000004,57.99,SEVERE,99.41,257.97,SEVERELY_DELAYED
DEL0000005,ORD0000005,47.73,SEVERE,81.82,153.77,SEVERELY_DELAYED
DEL0000006,ORD0000006,44.53,MEDIUM,76.34,90.13,DELAYED
DEL0000007,ORD0000007,41.31,LOW,70.82,62.28,ON_TIME
DEL0000008,ORD0000008,15.82,SEVERE,27.12,68.13,SEVERELY_DELAYED
DEL0000009,ORD0000009,61.33,HIGH,105.14,193.75,SEVERELY_DELAYED
DEL0000010,ORD0000010,105.37,HIGH,180.63,309.72,SEVERELY_DELAYED
DEL0000011,ORD0000011,55.16,SEVERE,94.56,246.34,SEVERELY_DELAYED
DEL0000012,ORD0000012,45.9,MEDIUM,78.69,93.2,DELAYED
DEL0000013,ORD0000013,11.03,MEDIUM,18.91,24.07,DELAYED
DEL0000014,ORD0000014,87.4,LOW,149.83,178.42,DELAYED
DEL0000015,ORD0000015,81.05,HIGH,138.94,245.33,SEVERELY_DELAYED
DEL0000016,ORD0000016,22.06,HIGH,37.82,57.07,SEVERELY_DELAYED
DEL0000017,ORD0000017,71.25,LOW,122.14,116.74,ON_TIME
DEL0000018,ORD0000018,56.66,MEDIUM,97.13,124.92,DELAYED
DEL0000019,ORD0000019,110.87,MEDIUM,190.06,243.49,DELAYED
DEL0000020,ORD0000020,42.03,HIGH,72.05,133.76,SEVERELY_DELAYED
DEL0000021,ORD0000021,17.86,MEDIUM,30.62,35.04,ON_TIME
DEL0000022,ORD0000022,45.64,LOW,78.24,91.75,DELAYED
DEL0000023,ORD0000023,14.88,MEDIUM,25.51,34.22,DELAYED
DEL0000024,ORD0000024,11.13,MEDIUM,19.08,22.6,DELAYED
DEL0000025,ORD0000025,86.94,MEDIUM,149.04,215.08,DELAYED
DEL0000026,ORD0000026,67.55,MEDIUM,115.8,140.15,DELAYED
DEL0000027,ORD0000027,30.75,HIGH,52.71,91.74,SEVERELY_DELAYED
DEL0000028,ORD0000028,69.75,LOW,119.57,134.76,ON_TIME
DEL0000029,ORD0000029,35.46,MEDIUM,60.79,73.94,DELAYED
DEL0000030,ORD0000030,113.84,HIGH,195.15,284.2,DELAYED
DEL0000031,ORD0000031,65.34,MEDIUM,112.01,140.88,DELAYED
DEL0000032,ORD0000032,48.39,MEDIUM,82.95,122.13,DELAYED
DEL0000033,ORD0000033,23.71,HIGH,40.65,63.62,SEVERELY_DELAYED
DEL0000034,ORD0000034,29.87,HIGH,51.21,88.19,SEVERELY_DELAYED
DEL0000035,ORD0000035,71.47,MEDIUM,122.52,132.55,ON_TIME
DEL0000036,ORD0000036,39.78,LOW,68.19,75.95,ON_TIME
DEL0000037,ORD0000037,25.64,HIGH,43.95,79.73,SEVERELY_DELAYED
DEL0000038,ORD0000038,55.34,LOW,94.87,111.68,DELAYED
DEL0000039,ORD0000039,29.05,LOW,49.8,50.65,ON_TIME
DEL0000040,ORD0000040,43.14,LOW,73.95,87.63,DELAYED
DEL0000041,ORD0000041,87.13,SEVERE,149.37,374.91,SEVERELY_DELAYED
DEL0000042,ORD0000042,162.23,MEDIUM,278.11,344.89,DELAYED
DEL0000043,ORD0000043,99.4,MEDIUM,170.4,232.14,DELAYED
DEL0000044,ORD0000044,40.95,SEVERE,70.2,172.42,SEVERELY_DELAYED
DEL0000045,ORD0000045,113.49,MEDIUM,194.55,218.17,ON_TIME
DEL0000046,ORD0000046,88.67,MEDIUM,152.01,191.04,DELAYED
DEL0000047,ORD0000047,44.77,MEDIUM,76.75,101.47,DELAYED
DEL0000048,ORD0000048,97.03,MEDIUM,166.34,208.63,DELAYED
DEL0000049,ORD0000049,57.46,LOW,98.5,99.95,ON_TIME
DEL0000050,ORD0000050,64.72,LOW,110.95,112.89,ON_TIME
DEL0000051,ORD0000051,44.41,LOW,76.13,72.0,ON_TIME
DEL0000052,ORD0000052,51.37,MEDIUM,88.06,129.73,DELAYED
DEL0000053,ORD0000053,29.79,MEDIUM,51.07,66.47,DELAYED
DEL0000054,ORD0000054,61.59,MEDIUM,105.58,133.1,DELAYED
DEL0000055,ORD0000055,32.33,LOW,55.42,60.5,ON_TIME
DEL0000056,ORD0000056,103.67,SEVERE,177.72,430.84,SEVERELY_DELAYED
DEL0000057,ORD0000057,22.85,MEDIUM,39.17,51.8,DELAYED
DEL0000058,ORD0000058,86.05,MEDIUM,147.51,171.09,DELAYED
DEL0000059,ORD0000059,55.93,MEDIUM,95.88,124.09,DELAYED
DEL0000060,ORD0000060,33.76,MEDIUM,57.87,70.63,DELAYED
DEL0000061,ORD0000061,62.82,MEDIUM,107.69,157.86,DELAYED
DEL0000062,ORD0000062,32.63,LOW,55.94,55.69,ON_TIME
DEL0000063,ORD0000063,66.61,LOW,114.19,104.66,ON_TIME
DEL0000064,ORD0000064,120.95,HIGH,207.34,360.73,SEVERELY_DELAYED
DEL0000065,ORD0000065,25.05,HIGH,42.94,77.25,SEVERELY_DELAYED
DEL0000066,ORD0000066,20.32,LOW,34.83,32.23,ON_TIME
DEL0000067,ORD0000067,57.76,HIGH,99.02,136.56,DELAYED
DEL0000068,ORD0000068,44.48,MEDIUM,76.25,104.94,DELAYED
DEL0000069,ORD0000069,36.97,HIGH,63.38,106.97,SEVERELY_DELAYED
DEL0000070,ORD0000070,18.83,HIGH,32.28,57.03,SEVERELY_DELAYED
DEL0000071,ORD0000071,16.04,MEDIUM,27.5,39.06,DELAYED
DEL0000072,ORD0000072,12.83,MEDIUM,21.99,24.84,ON_TIME
DEL0000073,ORD0000073,82.7,MEDIUM,141.77,166.46,DELAYED
DEL0000074,ORD0000074,23.53,MEDIUM,40.34,49.72,DELAYED
DEL0000075,ORD0000075,41.84,LOW,71.73,82.49,DELAYED
DEL0000076,ORD0000076,68.14,MEDIUM,116.81,130.33,ON_TIME
DEL0000077,ORD0000077,57.04,HIGH,97.78,165.9,SEVERELY_DELAYED
DEL0000078,ORD0000078,48.45,LOW,83.06,95.28,ON_TIME
DEL0000079,ORD0000079,77.79,LOW,133.35,127.85,ON_TIME
DEL0000080,ORD0000080,14.07,HIGH,24.12,39.59,SEVERELY_DELAYED
DEL0000081,ORD0000081,29.91,LOW,51.27,49.81,ON_TIME
DEL0000082,ORD0000082,57.74,HIGH,98.98,168.49,SEVERELY_DELAYED
DEL0000083,ORD0000083,41.5,MEDIUM,71.14,90.87,DELAYED
DEL0000084,ORD0000084,48.35,LOW,82.89,96.73,DELAYED
DEL0000085,ORD0000085,42.77,MEDIUM,73.32,94.75,DELAYED
DEL0000086,ORD0000086,129.13,HIGH,221.37,366.12,SEVERELY_DELAYED
DEL0000087,ORD0000087,106.41,MEDIUM,182.42,227.12,DELAYED
DEL0000088,ORD0000088,147.94,LOW,253.61,250.49,ON_TIME
DEL0000089,ORD0000089,158.17,SEVERE,271.15,604.39,SEVERELY_DELAYED
DEL0000090,ORD0000090,96.71,LOW,165.79,141.76,ON_TIME
DEL0000091,ORD0000091,66.19,HIGH,113.47,166.82,DELAYED
DEL0000092,ORD0000092,45.89,MEDIUM,78.67,85.12,ON_TIME
DEL0000093,ORD0000093,40.05,LOW,68.66,80.78,DELAYED
DEL0000094,ORD0000094,58.71,MEDIUM,100.65,136.74,DELAYED
DEL0000095,ORD0000095,44.37,MEDIUM,76.06,95.65,DELAYED
DEL0000096,ORD0000096,21.31,LOW,36.53,39.85,ON_TIME
DEL0000097,ORD0000097,41.78,MEDIUM,71.62,97.93,DELAYED
DEL0000098,ORD0000098,18.34,HIGH,31.44,53.92,SEVERELY_DELAYED
DEL0000099,ORD0000099,31.01,MEDIUM,53.16,75.13,DELAYED
DEL0000100,ORD0000100,18.17,HIGH,31.15,57.43,SEVERELY_DELAYED
DEL0000101,ORD0000101,5.98,LOW,10.25,9.14,ON_TIME
DEL0000102,ORD0000102,49.49,LOW,84.84,82.41,ON_TIME
DEL0000103,ORD0000103,53.14,SEVERE,91.1,222.6,SEVERELY_DELAYED
DEL0000104,ORD0000104,81.56,MEDIUM,139.82,177.75,DELAYED
DEL0000105,ORD0000105,77.08,MEDIUM,132.14,141.19,ON_TIME
DEL0000106,ORD0000106,152.4,LOW,261.26,287.04,ON_TIME
DEL0000107,ORD0000107,122.32,LOW,209.69,214.76,ON_TIME
DEL0000108,ORD0000108,15.41,MEDIUM,26.42,33.1,DELAYED
DEL0000109,ORD0000109,40.17,LOW,68.86,71.66,ON_TIME
DEL0000110,ORD0000110,48.56,MEDIUM,83.25,90.21,ON_TIME
DEL0000111,ORD0000111,118.18,HIGH,202.59,316.22,SEVERELY_DELAYED
DEL0000112,ORD0000112,42.85,LOW,73.46,84.62,DELAYED
DEL0000113,ORD0000113,44.84,MEDIUM,76.87,85.37,ON_TIME
DEL0000114,ORD0000114,65.47,HIGH,112.23,215.16,SEVERELY_DELAYED
DEL0000115,ORD0000115,68.18,MEDIUM,116.88,145.45,DELAYED
DEL0000116,ORD0000116,79.19,MEDIUM,135.75,164.62,DELAYED
DEL0000117,ORD0000117,70.47,HIGH,120.81,222.84,SEVERELY_DELAYED
DEL0000118,ORD0000118,135.2,MEDIUM,231.77,306.79,DELAYED
DEL0000119,ORD0000119,122.69,MEDIUM,210.33,297.91,DELAYED
DEL0000120,ORD0000120,61.2,MEDIUM,104.91,135.15,DELAYED
DEL0000121,ORD0000121,78.01,LOW,133.73,141.03,ON_TIME
DEL0000122,ORD0000122,95.7,LOW,164.06,184.21,ON_TIME
DEL0000123,ORD0000123,40.46,SEVERE,69.36,133.83,SEVERELY_DELAYED
DEL0000124,ORD0000124,77.0,LOW,132.0,135.5,ON_TIME
DEL0000125,ORD0000125,36.98,HIGH,63.39,118.94,SEVERELY_DELAYED
DEL0000126,ORD0000126,13.55,HIGH,23.23,33.89,DELAYED
DEL0000127,ORD0000127,43.8,MEDIUM,75.09,94.03,DELAYED
DEL0000128,ORD0000128,69.42,MEDIUM,119.01,154.02,DELAYED
DEL0000129,ORD0000129,38.86,MEDIUM,66.62,77.84,DELAYED
DEL0000130,ORD0000130,36.13,MEDIUM,61.94,85.75,DELAYED
DEL0000131,ORD0000131,79.69,MEDIUM,136.61,168.96,DELAYED
DEL0000132,ORD0000132,48.71,LOW,83.5,84.3,ON_TIME
DEL0000133,ORD0000133,40.58,MEDIUM,69.57,88.8,DELAYED
DEL0000134,ORD0000134,51.39,HIGH,88.1,161.45,SEVERELY_DELAYED
DEL0000135,ORD0000135,73.64,MEDIUM,126.24,165.51,DELAYED
DEL0000136,ORD0000136,40.03,LOW,68.62,62.07,ON_TIME
DEL0000137,ORD0000137,31.46,HIGH,53.93,75.7,DELAYED
DEL0000138,ORD0000138,29.69,LOW,50.9,57.15,ON_TIME
DEL0000139,ORD0000139,28.43,MEDIUM,48.74,57.08,DELAYED
DEL0000140,ORD0000140,52.16,HIGH,89.42,140.46,SEVERELY_DELAYED
DEL0000141,ORD0000141,25.08,MEDIUM,42.99,48.85,ON_TIME
DEL0000142,ORD0000142,82.55,LOW,141.51,162.31,ON_TIME
DEL0000143,ORD0000143,31.87,SEVERE,54.63,132.91,SEVERELY_DELAYED
DEL0000144,ORD0000144,116.43,LOW,199.59,235.7,DELAYED
DEL0000145,ORD0000145,21.19,LOW,36.33,39.2,ON_TIME
DEL0000146,ORD0000146,61.59,MEDIUM,105.58,122.52,DELAYED
DEL0000147,ORD0000147,77.29,MEDIUM,132.5,147.73,ON_TIME
DEL0000148,ORD0000148,70.24,HIGH,120.41,188.83,SEVERELY_DELAYED
DEL0000149,ORD0000149,53.87,HIGH,92.35,139.94,SEVERELY_DELAYED
DEL0000150,ORD0000150,117.0,LOW,200.57,199.74,ON_TIME
DEL0000151,ORD0000151,42.42,LOW,72.72,82.26,ON_TIME
DEL0000152,ORD0000152,71.22,MEDIUM,122.09,166.36,DELAYED
DEL0000153,ORD0000153,52.21,SEVERE,89.5,231.22,SEVERELY_DELAYED
DEL0000154,ORD0000154,52.31,HIGH,89.67,153.99,SEVERELY_DELAYED
DEL0000155,ORD0000155,99.9,HIGH,171.26,241.95,DELAYED
DEL0000156,ORD0000156,65.7,MEDIUM,112.63,124.74,ON_TIME
DEL0000157,ORD0000157,54.64,MEDIUM,93.67,132.78,DELAYED
DEL0000158,ORD0000158,47.41,HIGH,81.27,115.44,DELAYED
DEL0000159,ORD0000159,58.39,HIGH,100.1,136.15,DELAYED
DEL0000160,ORD0000160,68.23,HIGH,116.97,216.44,SEVERELY_DELAYED
DEL0000161,ORD0000161,51.9,SEVERE,88.97,195.2,SEVERELY_DELAYED
DEL0000162,ORD0000162,26.28,MEDIUM,45.05,48.45,ON_TIME
DEL0000163,ORD0000163,90.51,LOW,155.16,151.24,ON_TIME
DEL0000164,ORD0000164,45.73,LOW,78.39,83.57,ON_TIME
DEL0000165,ORD0000165,61.08,MEDIUM,104.71,154.51,DELAYED
DEL0000166,ORD0000166,53.88,MEDIUM,92.37,103.15,ON_TIME
DEL0000167,ORD0000167,116.16,MEDIUM,199.13,226.41,ON_TIME
DEL0000168,ORD0000168,17.33,MEDIUM,29.71,40.47,DELAYED
DEL0000169,ORD0000169,21.75,LOW,37.29,44.74,DELAYED
DEL0000170,ORD0000170,16.62,MEDIUM,28.49,36.15,DELAYED
DEL0000171,ORD0000171,48.31,MEDIUM,82.82,109.87,DELAYED
DEL0000172,ORD0000172,31.1,MEDIUM,53.31,63.02,DELAYED
DEL0000173,ORD0000173,39.98,HIGH,68.54,104.6,SEVERELY_DELAYED
DEL0000174,ORD0000174,26.97,LOW,46.23,49.62,ON_TIME
DEL0000175,ORD0000175,23.6,MEDIUM,40.46,48.42,DELAYED
DEL0000176,ORD0000176,80.35,MEDIUM,137.74,203.59,DELAYED
DEL0000177,ORD0000177,110.1,MEDIUM,188.74,232.33,DELAYED
DEL0000178,ORD0000178,34.28,MEDIUM,58.77,77.1,DELAYED
DEL0000179,ORD0000179,172.33,MEDIUM,295.42,372.71,DELAYED
DEL0000180,ORD0000180,37.01,LOW,63.45,73.99,DELAYED
DEL0000181,ORD0000181,130.02,HIGH,222.89,340.68,SEVERELY_DELAYED
DEL0000182,ORD0000182,61.78,HIGH,105.91,181.6,SEVERELY_DELAYED
DEL0000183,ORD0000183,28.19,LOW,48.33,52.33,ON_TIME
DEL0000184,ORD0000184,35.48,SEVERE,60.82,140.85,SEVERELY_DELAYED
DEL0000185,ORD0000185,14.07,LOW,24.12,22.12,ON_TIME
DEL0000186,ORD0000186,54.38,MEDIUM,93.22,138.15,DELAYED
DEL0000187,ORD0000187,17.51,MEDIUM,30.02,35.94,DELAYED
DEL0000188,ORD0000188,65.77,HIGH,112.75,164.25,DELAYED
DEL0000189,ORD0000189,160.24,LOW,274.7,266.77,ON_TIME
DEL0000190,ORD0000190,116.88,MEDIUM,200.37,219.35,ON_TIME
DEL0000191,ORD0000191,78.92,LOW,135.29,147.3,ON_TIME
DEL0000192,ORD0000192,68.1,HIGH,116.74,206.37,SEVERELY_DELAYED
DEL0000193,ORD0000193,21.44,HIGH,36.75,65.56,SEVERELY_DELAYED
DEL0000194,ORD0000194,78.65,HIGH,134.83,238.26,SEVERELY_DELAYED
DEL0000195,ORD0000195,15.04,HIGH,25.78,42.83,SEVERELY_DELAYED
DEL0000196,ORD0000196,14.93,LOW,25.59,26.82,ON_TIME
DEL0000197,ORD0000197,78.62,MEDIUM,134.78,178.29,DELAYED
DEL0000198,ORD0000198,35.22,HIGH,60.38,102.22,SEVERELY_DELAYED
DEL0000199,ORD0000199,108.69,SEVERE,186.33,434.38,SEVERELY_DELAYED
DEL0000200,ORD0000200,50.36,HIGH,86.33,119.57,DELAYED
DEL0000201,ORD0000201,68.86,LOW,118.05,134.81,ON_TIME
DEL0000202,ORD0000202,40.47,LOW,69.38,72.14,ON_TIME
DEL0000203,ORD0000203,54.25,LOW,93.0,107.91,DELAYED
DEL0000204,ORD0000204,92.72,MEDIUM,158.95,197.03,DELAYED
DEL0000205,ORD0000205,52.61,MEDIUM,90.19,102.11,ON_TIME
DEL0000206,ORD0000206,47.0,LOW,80.57,80.31,ON_TIME
DEL0000207,ORD0000207,107.88,HIGH,184.94,271.64,DELAYED
DEL0000208,ORD0000208,29.62,MEDIUM,50.78,62.71,DELAYED
DEL0000209,ORD0000209,102.11,LOW,175.05,171.34,ON_TIME
DEL0000210,ORD0000210,122.81,HIGH,210.53,385.28,SEVERELY_DELAYED
DEL0000211,ORD0000211,161.8,HIGH,277.37,488.58,SEVERELY_DELAYED
DEL0000212,ORD0000212,9.2,LOW,15.77,17.34,ON_TIME
DEL0000213,ORD0000213,7.78,MEDIUM,13.34,17.81,DELAYED
DEL0000214,ORD0000214,16.95,HIGH,29.06,46.47,SEVERELY_DELAYED
DEL0000215,ORD0000215,62.42,SEVERE,107.01,260.59,SEVERELY_DELAYED
DEL0000216,ORD0000216,46.22,HIGH,79.23,145.27,SEVERELY_DELAYED
DEL0000217,ORD0000217,55.19,LOW,94.61,90.82,ON_TIME
DEL0000218,ORD0000218,94.24,LOW,161.55,193.32,DELAYED
DEL0000219,ORD0000219,21.72,HIGH,37.23,54.57,DELAYED
DEL0000220,ORD0000220,28.79,LOW,49.35,49.94,ON_TIME
DEL0000221,ORD0000221,94.38,LOW,161.79,185.0,ON_TIME
DEL0000222,ORD0000222,36.97,SEVERE,63.38,134.78,SEVERELY_DELAYED
DEL0000223,ORD0000223,117.4,LOW,201.26,233.13,DELAYED
DEL0000224,ORD0000224,46.55,MEDIUM,79.8,110.2,DELAYED
DEL0000225,ORD0000225,64.12,MEDIUM,109.92,154.91,DELAYED
DEL0000226,ORD0000226,35.11,LOW,60.19,62.22,ON_TIME
DEL0000227,ORD0000227,52.24,MEDIUM,89.55,95.75,ON_TIME
DEL0000228,ORD0000228,24.81,SEVERE,42.53,103.76,SEVERELY_DELAYED
DEL0000229,ORD0000229,33.28,MEDIUM,57.05,70.4,DELAYED
DEL0000230,ORD0000230,26.02,HIGH,44.61,75.98,SEVERELY_DELAYED
DEL0000231,ORD0000231,21.49,HIGH,36.84,59.63,SEVERELY_DELAYED
DEL0000232,ORD0000232,108.85,MEDIUM,186.6,274.94,DELAYED
DEL0000233,ORD0000233,44.93,LOW,77.02,74.79,ON_TIME
DEL0000234,ORD0000234,31.65,LOW,54.26,64.32,DELAYED
DEL0000235,ORD0000235,78.59,MEDIUM,134.73,188.38,DELAYED
DEL0000236,ORD0000236,36.28,MEDIUM,62.19,79.32,DELAYED
DEL0000237,ORD0000237,60.57,LOW,103.83,115.44,ON_TIME
DEL0000238,ORD0000238,12.33,LOW,21.14,24.63,DELAYED
DEL0000239,ORD0000239,153.9,HIGH,263.83,361.28,DELAYED
DEL0000240,ORD0000240,97.49,LOW,167.13,199.85,DELAYED
DEL0000241,ORD0000241,38.22,MEDIUM,65.52,93.07,DELAYED
DEL0000242,ORD0000242,92.98,MEDIUM,159.39,207.45,DELAYED
