decision,source,route,transfers,vehicle_id,vehicle_capacity_kg,vehicle_volume_m3,weight,volume,weight_utilization,volume_utilization,overall_utilization,fuel_efficiency,distance,route_time,fuel,fuel_cost,separate_cost,savings,savings_percent,deadline,urgency,reason
URGENT_SEPARATE,WH01,WH01 → WH02 → WH01,TRF00002,VEH025,2000.0,25.0,261.8,1.32,13.090000000000002,5.28,9.185,8.14,70.0,2.75,8.5995085995086,859.9508599508599,429.97542997542996,0.0,0.0,ON_TIME,URGENT,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,WH01,WH01 → WH03 → WH01,TRF00003,VEH025,2000.0,25.0,203.22,3.573,10.161000000000001,14.292,12.226500000000001,8.14,290.0,8.25,35.62653562653563,3562.653562653563,1781.3267813267814,0.0,0.0,ON_TIME,URGENT,Urgent shipment protected from consolidation delay.
URGENT_SEPARATE,WH01,WH01 → WH04 → WH01,TRF00025,VEH025,2000.0,25.0,14.55,6.555,0.7275,26.22,13.473749999999999,8.14,700.0,18.5,85.99508599508599,8599.5085995086,4299.7542997543,0.0,0.0,ON_TIME,URGENT,Urgent shipment protected from consolidation delay.
CONSOLIDATE,WH01,WH01 → WH02 → WH01,"TRF00001,TRF00007,TRF00024,TRF00030",VEH025,2000.0,25.0,540.66,18.204,27.032999999999994,72.816,49.924499999999995,8.14,70.0,2.75,8.5995085995086,859.9508599508599,1719.9017199017198,859.9508599508599,50.0,ON_TIME,SOON,Compatible shipments combined with cost savings while preserving deadline feasibility.
SEPARATE,WH01,WH01 → WH05 → WH01,TRF00009,VEH025,2000.0,25.0,50.64,1.036,2.532,4.144,3.338,8.14,1150.0,29.75,141.27764127764127,14127.764127764127,7063.882063882063,0.0,0.0,ON_TIME,NORMAL,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
URGENT_SEPARATE,WH02,WH02 → WH01 → WH02,TRF00016,VEH004,1000.0,10.0,33.96,3.816,3.3960000000000004,38.16,20.778,15.21,70.0,2.75,4.602235371466141,460.2235371466141,230.11176857330705,0.0,0.0,ON_TIME,URGENT,Urgent shipment protected from consolidation delay.
SEPARATE,WH02,WH02 → WH03 → WH02,TRF00022,VEH004,1000.0,10.0,258.3,1.005,25.830000000000002,10.049999999999999,17.94,15.21,250.0,7.25,16.43655489809336,1643.655489809336,821.827744904668,0.0,0.0,ON_TIME,NORMAL,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
SEPARATE,WH02,WH02 → WH04 → WH02,"TRF00013,TRF00017",VEH004,1000.0,10.0,159.44,2.8080000000000003,15.943999999999999,28.080000000000005,22.012,15.21,670.0,17.75,44.04996712689021,4404.996712689021,4404.996712689021,0.0,0.0,ON_TIME,SOON,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
SEPARATE,WH03,WH03 → WH01 → WH03,TRF00011,VEH001,1000.0,10.0,122.94,2.799,12.293999999999999,27.99,20.142,10.8,290.0,8.25,26.85185185185185,2685.185185185185,1342.5925925925926,0.0,0.0,ON_TIME,NORMAL,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
SEPARATE,WH03,WH03 → WH02 → WH03,"TRF00010,TRF00026",VEH001,1000.0,10.0,53.040000000000006,4.214,5.304,42.14000000000001,23.722000000000005,10.8,250.0,7.25,23.14814814814814,2314.8148148148143,2314.8148148148143,0.0,0.0,ON_TIME,SOON,Consolidation rejected because it does not provide sufficient cost benefit or deadline safety.
