source_warehouse,route,transfer_ids,shipment_count,vehicle_id,vehicle_selection_reason,shipment_weight_kg,shipment_volume_m3,vehicle_capacity_kg,vehicle_volume_capacity_m3,weight_utilization,volume_utilization,overall_utilization,fuel_efficiency_kmpl,distance_km,route_hours,fuel_litres,fuel_cost,separate_cost,savings,savings_percentage,deadline_status,decision,reason
WH01,WH01 → WH02,"TRF00030,TRF00002,TRF00024,TRF00001,TRF00007",5,VEH025,BEST_FIT_VEHICLE,802.46,19.524,2000.0,25.0,0.40123000000000003,0.78096,0.591095,8.14,35.0,1.375,4.2997542997543,429.97542997542996,2149.87714987715,1719.9017199017198,80.0,ON_TIME,CONSOLIDATE,Compatible shipments combined using a capacity-matched vehicle. Best-fit vehicle selected to improve utilization.
WH01,WH01 → WH03,TRF00003,1,VEH025,BEST_FIT_VEHICLE,203.22,3.573,2000.0,25.0,0.10161,0.14292,0.122265,8.14,145.0,4.125,17.813267813267814,1781.3267813267814,1781.3267813267814,0.0,0.0,ON_TIME,SEPARATE,Single shipment dispatch. Best-fit vehicle selected to improve utilization.
WH01,WH01 → WH04,TRF00025,1,VEH025,BEST_FIT_VEHICLE,14.55,6.555,2000.0,25.0,0.007275,0.2622,0.13473749999999998,8.14,350.0,9.25,42.99754299754299,4299.7542997543,4299.7542997543,0.0,0.0,ON_TIME,SEPARATE,Single shipment dispatch. Best-fit vehicle selected to improve utilization.
WH01,WH01 → WH05,TRF00009,1,VEH025,BEST_FIT_VEHICLE,50.64,1.036,2000.0,25.0,0.02532,0.041440000000000005,0.03338,8.14,575.0,14.875,70.63882063882063,7063.882063882063,7063.882063882063,0.0,0.0,ON_TIME,SEPARATE,Single shipment dispatch. Best-fit vehicle selected to improve utilization.
WH02,WH02 → WH01 → WH04,"TRF00016,TRF00013,TRF00017",3,VEH004,BEST_FIT_VEHICLE,193.4,6.6240000000000006,1000.0,10.0,0.19340000000000002,0.6624000000000001,0.42790000000000006,15.21,385.0,10.625,25.31229454306377,2531.229454306377,4753.255419156682,2222.025964850305,46.74745556266645,ON_TIME,CONSOLIDATE,Compatible shipments combined using a capacity-matched vehicle. Best-fit vehicle selected to improve utilization.
WH02,WH02 → WH03,TRF00022,1,VEH004,LOWEST_FUEL_COST,258.3,1.005,1000.0,10.0,0.25830000000000003,0.10049999999999999,0.1794,15.21,125.0,3.625,8.21827744904668,821.827744904668,821.827744904668,0.0,0.0,ON_TIME,SEPARATE,Single shipment dispatch. Lowest fuel-cost vehicle selected.
WH03,WH03 → WH02 → WH01,"TRF00026,TRF00011,TRF00010",3,VEH001,BEST_FIT_VEHICLE,175.98,7.013,1000.0,10.0,0.17598,0.7013,0.43864000000000003,10.8,160.0,5.0,14.814814814814813,1481.4814814814813,3657.407407407407,2175.9259259259256,59.49367088607595,ON_TIME,CONSOLIDATE,Compatible shipments combined using a capacity-matched vehicle. Best-fit vehicle selected to improve utilization.
WH03,WH03 → WH04,TRF00029,1,VEH001,LOWEST_FUEL_COST,12.78,2.997,1000.0,10.0,0.01278,0.29969999999999997,0.15624,10.8,430.0,11.25,39.81481481481481,3981.481481481481,3981.481481481481,0.0,0.0,ON_TIME,SEPARATE,Single shipment dispatch. Lowest fuel-cost vehicle selected.
WH03,WH03 → WH05,TRF00012,1,VEH001,BEST_FIT_VEHICLE,307.58,6.396,1000.0,10.0,0.30757999999999996,0.6396,0.47358999999999996,10.8,700.0,18.0,64.81481481481481,6481.481481481481,6481.481481481481,0.0,0.0,ON_TIME,SEPARATE,Single shipment dispatch. Best-fit vehicle selected to improve utilization.
WH04,WH04 → WH02 → WH03,"TRF00020,TRF00006,TRF00018",3,VEH031,BEST_FIT_VEHICLE,277.52,5.039,1000.0,10.0,0.27752,0.5039,0.39071,17.03,460.0,12.5,27.011156782149147,2701.1156782149146,7017.0287727539635,4315.913094539049,61.50627615062761,ON_TIME,CONSOLIDATE,Compatible shipments combined using a capacity-matched vehicle. Best-fit vehicle selected to improve utilization.
WH04,WH04 → WH05,TRF00023,1,VEH031,LARGE_VEHICLE_FALLBACK,44.46,1.854,1000.0,10.0,0.04446,0.1854,0.11493,17.03,630.0,16.25,36.9935408103347,3699.35408103347,3699.35408103347,0.0,0.0,ON_TIME,SEPARATE,Single shipment dispatch. Large vehicle selected because smaller feasible vehicles were not available.
WH05,WH05 → WH02 → WH03,"TRF00015,TRF00005,TRF00008,TRF00019",4,VEH040,LARGE_VEHICLE_FALLBACK,332.87,6.829000000000001,5000.0,50.0,0.066574,0.13658,0.101577,16.92,685.0,18.125,40.48463356973995,4048.463356973995,15721.040189125295,11672.5768321513,74.24812030075188,ON_TIME,CONSOLIDATE,Compatible shipments combined using a capacity-matched vehicle. Large vehicle selected because smaller feasible vehicles were not available.
WH05,WH05 → WH02 → WH01,"TRF00028,TRF00027,TRF00014,TRF00004",4,VEH040,LARGE_VEHICLE_FALLBACK,569.5999999999999,6.694,5000.0,50.0,0.11391999999999998,0.13388,0.12389999999999998,16.92,595.0,15.875,35.16548463356973,3516.548463356973,13327.423167848698,9810.874704491725,73.61419068736143,ON_TIME,CONSOLIDATE,Compatible shipments combined using a capacity-matched vehicle. Large vehicle selected because smaller feasible vehicles were not available.
WH05,WH05 → WH04,TRF00021,1,VEH040,LARGE_VEHICLE_FALLBACK,89.28,1.308,5000.0,50.0,0.017856,0.026160000000000003,0.022008,16.92,630.0,16.25,37.234042553191486,3723.4042553191484,3723.4042553191484,0.0,0.0,ON_TIME,SEPARATE,Single shipment dispatch. Large vehicle selected because smaller feasible vehicles were not available.
