decision,source,destination,route,transfer_ids,transfer_count,vehicle_id,vehicle_capacity_kg,vehicle_volume_m3,weight_kg,volume_m3,weight_utilization_pct,volume_utilization_pct,overall_utilization_pct,fuel_efficiency_kmpl,distance_km,route_time_hours,departure_hour,arrival_hour,fuel_liters,fuel_cost,separate_cost,savings,savings_percentage,deadline_days,deadline_status,reason
CONSOLIDATE,WH01,WH02,WH01 → WH02 → WH01,"TRF00030,TRF00002,TRF00024,TRF00001,TRF00007",5,VEH030,5000.0,50.0,802.46,19.524,16.0492,39.048,27.5486,16.71,70.0,2.0,9.0,11.0,4.189108318372232,418.91083183722316,2055.196711685261,1636.285879848038,79.61699581089168,1.0,ON_TIME,Compatible shipments combined to reduce fuel consumption and dispatch cost.
CONSOLIDATE,WH01,WH04,WH01 → WH03 → WH04 → WH01,"TRF00003,TRF00025",2,VEH021,5000.0,50.0,217.77,10.128,4.3554,20.256,12.3057,11.22,925.0,23.375,1.125,24.5,82.44206773618538,8244.206773618538,5813.270698766882,0.0,0.0,1.0,AT_RISK,Compatible shipments combined to reduce fuel consumption and dispatch cost.
SEPARATE,WH01,WH05,WH01 → WH05 → WH01,TRF00009,1,VEH030,5000.0,50.0,50.64,1.036,1.0128,2.072,1.5424,16.71,1150.0,29.0,11.0,40.0,68.82106523040095,6882.1065230400945,6752.789195537287,0.0,0.0,5.0,ON_TIME,Single shipment or consolidation would not provide additional benefit.
SEPARATE,WH02,WH01,WH02 → WH01 → WH02,TRF00016,1,VEH004,1000.0,10.0,33.96,3.816,3.3960000000000004,38.16,20.778,15.21,70.0,2.0,0.25,2.25,4.602235371466141,460.2235371466141,411.0393423370522,0.0,0.0,1.0,ON_TIME,Single shipment or consolidation would not provide additional benefit.
CONSOLIDATE,WH02,WH04,WH02 → WH03 → WH04 → WH02,"TRF00013,TRF00017,TRF00022",3,VEH031,1000.0,10.0,417.74,3.813,41.774,38.13,39.952,17.03,890.0,22.5,8.625,31.125,52.260716382853786,5226.071638285379,9336.465061655901,4110.393423370522,44.0251572327044,2.0,ON_TIME,Compatible shipments combined to reduce fuel consumption and dispatch cost.
CONSOLIDATE,WH03,WH05,WH03 → WH02 → WH01 → WH04 → WH05 → WH03,"TRF00026,TRF00010,TRF00011,TRF00029,TRF00012",5,VEH024,5000.0,50.0,496.34000000000003,16.406,9.9268,32.812,21.3694,10.05,1840.0,46.25,0.25,46.5,183.08457711442784,18308.457711442785,17909.571344685846,0.0,0.0,2.0,ON_TIME,Compatible shipments combined to reduce fuel consumption and dispatch cost.
CONSOLIDATE,WH04,WH05,WH04 → WH02 → WH03 → WH05 → WH04,"TRF00020,TRF00006,TRF00018,TRF00023",4,VEH023,2000.0,25.0,321.97999999999996,6.893,16.099,27.571999999999996,21.835499999999996,6.6,1790.0,45.0,0.25,45.25,271.21212121212125,27121.212121212124,21432.765707574865,0.0,0.0,2.0,ON_TIME,Compatible shipments combined to reduce fuel consumption and dispatch cost.
FLEET_FALLBACK,WH05,WH04,WH05 → WH02 → WH01 → WH04 → WH05,"TRF00015,TRF00028,TRF00021",3,VEH031,1000.0,10.0,393.96000000000004,8.208,39.396,82.08,60.738,17.03,1575.0,39.625,31.125,70.75,92.48385202583675,9248.385202583675,20728.126834997063,11479.741632413388,55.38243626062324,1.0,MISSED_DEADLINE,Best feasible fleet vehicle selected after deadline-aware vehicle constraints could not be satisfied.
CONSOLIDATE,WH05,WH03,WH05 → WH02 → WH03 → WH05,"TRF00005,TRF00008,TRF00019,TRF00027,TRF00014",5,VEH040,5000.0,50.0,398.1,5.882,7.962000000000001,11.764,9.863,16.92,1385.0,34.875,0.25,35.125,81.85579196217493,8185.5791962174935,37815.6194950088,29630.04029879131,78.35397302615156,2.0,ON_TIME,Compatible shipments combined to reduce fuel consumption and dispatch cost.
SEPARATE,WH05,WH02,WH05 → WH02 → WH05,TRF00004,1,VEH040,5000.0,50.0,199.69,0.741,3.9938000000000002,1.482,2.7379000000000002,16.92,1120.0,28.25,35.125,63.375,66.19385342789597,6619.385342789597,6576.629477392835,0.0,0.0,4.0,ON_TIME,Single shipment or consolidation would not provide additional benefit.
