warehouse_id,location,product_id,category,current_stock
WH01,Bangalore,PRD00001,Home,21
WH01,Bangalore,PRD00002,Beauty,17
WH01,Bangalore,PRD00003,Electronics,15
WH01,Bangalore,PRD00004,Laptop,7
WH01,Bangalore,PRD00005,Home,7
WH01,Bangalore,PRD00006,Beauty,5
WH01,Bangalore,PRD00007,Electronics,20
WH01,Bangalore,PRD00008,Home,15
WH01,Bangalore,PRD00009,Accessories,17
WH01,Bangalore,PRD00010,Mobile,4
WH01,Bangalore,PRD00011,Electronics,21
WH01,Bangalore,PRD00012,Beauty,19
WH01,Bangalore,PRD00013,Mobile,8
WH01,Bangalore,PRD00014,Grocery,7
WH01,Bangalore,PRD00015,Mobile,7
WH01,Bangalore,PRD00016,Accessories,9
WH01,Bangalore,PRD00017,Laptop,13
WH01,Bangalore,PRD00018,Fashion,12
WH01,Bangalore,PRD00019,Electronics,9
WH01,Bangalore,PRD00020,Mobile,15
WH01,Bangalore,PRD00021,Electronics,7
WH01,Bangalore,PRD00022,Accessories,9
WH01,Bangalore,PRD00023,Home,11
WH01,Bangalore,PRD00024,Beauty,12
WH01,Bangalore,PRD00025,Grocery,18
WH01,Bangalore,PRD00026,Accessories,8
WH01,Bangalore,PRD00027,Fashion,13
WH01,Bangalore,PRD00028,Home,15
WH01,Bangalore,PRD00029,Electronics,5
WH01,Bangalore,PRD00030,Electronics,15
WH01,Bangalore,PRD00031,Electronics,7
WH01,Bangalore,PRD00032,Home,5
WH01,Bangalore,PRD00033,Grocery,21
WH01,Bangalore,PRD00034,Electronics,21
WH01,Bangalore,PRD00035,Accessories,19
WH01,Bangalore,PRD00036,Electronics,9
WH01,Bangalore,PRD00037,Grocery,6
WH01,Bangalore,PRD00038,Grocery,16
WH01,Bangalore,PRD00039,Laptop,12
WH01,Bangalore,PRD00040,Grocery,6
WH01,Bangalore,PRD00041,Grocery,13
WH01,Bangalore,PRD00042,Laptop,5
WH01,Bangalore,PRD00043,Mobile,20
WH01,Bangalore,PRD00044,Accessories,9
WH01,Bangalore,PRD00045,Mobile,16
WH01,Bangalore,PRD00046,Beauty,10
WH01,Bangalore,PRD00047,Beauty,13
WH01,Bangalore,PRD00048,Home,14
WH01,Bangalore,PRD00049,Beauty,7
WH01,Bangalore,PRD00050,Grocery,21
WH01,Bangalore,PRD00051,Electronics,18
WH01,Bangalore,PRD00052,Home,21
WH01,Bangalore,PRD00053,Home,20
WH01,Bangalore,PRD00054,Mobile,15
WH01,Bangalore,PRD00055,Electronics,21
WH01,Bangalore,PRD00056,Home,6
WH01,Bangalore,PRD00057,Grocery,8
WH01,Bangalore,PRD00058,Electronics,5
WH01,Bangalore,PRD00059,Electronics,10
WH01,Bangalore,PRD00060,Home,11
WH01,Bangalore,PRD00061,Electronics,9
WH01,Bangalore,PRD00062,Mobile,19
WH01,Bangalore,PRD00063,Electronics,10
WH01,Bangalore,PRD00064,Laptop,9
WH01,Bangalore,PRD00065,Accessories,14
WH01,Bangalore,PRD00066,Laptop,7
WH01,Bangalore,PRD00067,Fashion,18
WH01,Bangalore,PRD00068,Electronics,5
WH01,Bangalore,PRD00069,Beauty,22
WH01,Bangalore,PRD00070,Beauty,18
WH01,Bangalore,PRD00071,Home,8
WH01,Bangalore,PRD00072,Fashion,4
WH01,Bangalore,PRD00073,Laptop,19
WH01,Bangalore,PRD00074,Grocery,17
WH01,Bangalore,PRD00075,Accessories,17
WH01,Bangalore,PRD00076,Mobile,18
WH01,Bangalore,PRD00077,Mobile,5
WH01,Bangalore,PRD00078,Mobile,10
WH01,Bangalore,PRD00079,Fashion,6
WH01,Bangalore,PRD00080,Home,20
WH01,Bangalore,PRD00081,Accessories,15
WH01,Bangalore,PRD00082,Beauty,10
WH01,Bangalore,PRD00083,Home,5
WH01,Bangalore,PRD00084,Accessories,10
WH01,Bangalore,PRD00085,Fashion,10
WH01,Bangalore,PRD00086,Beauty,17
WH01,Bangalore,PRD00087,Fashion,15
WH01,Bangalore,PRD00088,Home,20
WH01,Bangalore,PRD00089,Fashion,12
WH01,Bangalore,PRD00090,Beauty,6
WH01,Bangalore,PRD00091,Mobile,17
WH01,Bangalore,PRD00092,Electronics,18
WH01,Bangalore,PRD00093,Beauty,14
WH01,Bangalore,PRD00094,Grocery,18
WH01,Bangalore,PRD00095,Accessories,13
WH01,Bangalore,PRD00096,Fashion,13
WH01,Bangalore,PRD00097,Mobile,12
WH01,Bangalore,PRD00098,Home,4
WH01,Bangalore,PRD00099,Laptop,6
WH01,Bangalore,PRD00100,Home,5
WH01,Bangalore,PRD00101,Fashion,15
WH01,Bangalore,PRD00102,Home,10
WH01,Bangalore,PRD00103,Mobile,13
WH01,Bangalore,PRD00104,Beauty,20
WH01,Bangalore,PRD00105,Laptop,8
WH01,Bangalore,PRD00106,Electronics,11
WH01,Bangalore,PRD00107,Home,18
WH01,Bangalore,PRD00108,Accessories,8
WH01,Bangalore,PRD00109,Accessories,5
WH01,Bangalore,PRD00110,Mobile,9
WH01,Bangalore,PRD00111,Electronics,7
WH01,Bangalore,PRD00112,Accessories,21
WH01,Bangalore,PRD00113,Electronics,19
WH01,Bangalore,PRD00114,Fashion,15
WH01,Bangalore,PRD00115,Fashion,20
WH01,Bangalore,PRD00116,Grocery,18
WH01,Bangalore,PRD00117,Fashion,7
WH01,Bangalore,PRD00118,Mobile,20
WH01,Bangalore,PRD00119,Electronics,14
WH01,Bangalore,PRD00120,Fashion,19
WH01,Bangalore,PRD00121,Grocery,20
WH01,Bangalore,PRD00122,Accessories,10
WH01,Bangalore,PRD00123,Electronics,6
WH01,Bangalore,PRD00124,Grocery,8
WH01,Bangalore,PRD00125,Grocery,12
WH01,Bangalore,PRD00126,Accessories,19
WH01,Bangalore,PRD00127,Electronics,19
WH01,Bangalore,PRD00128,Home,4
WH01,Bangalore,PRD00129,Home,13
WH01,Bangalore,PRD00130,Grocery,12
WH01,Bangalore,PRD00131,Laptop,8
WH01,Bangalore,PRD00132,Grocery,6
WH01,Bangalore,PRD00133,Electronics,10
WH01,Bangalore,PRD00134,Fashion,21
WH01,Bangalore,PRD00135,Electronics,10
WH01,Bangalore,PRD00136,Beauty,13
WH01,Bangalore,PRD00137,Electronics,17
WH01,Bangalore,PRD00138,Beauty,11
WH01,Bangalore,PRD00139,Fashion,21
WH01,Bangalore,PRD00140,Home,21
WH01,Bangalore,PRD00141,Electronics,9
WH01,Bangalore,PRD00142,Beauty,13
WH01,Bangalore,PRD00143,Grocery,9
WH01,Bangalore,PRD00144,Grocery,9
WH01,Bangalore,PRD00145,Electronics,5
WH01,Bangalore,PRD00146,Mobile,15
WH01,Bangalore,PRD00147,Grocery,13
WH01,Bangalore,PRD00148,Fashion,5
WH01,Bangalore,PRD00149,Accessories,9
WH01,Bangalore,PRD00150,Grocery,20
WH01,Bangalore,PRD00151,Fashion,8
WH01,Bangalore,PRD00152,Laptop,7
WH01,Bangalore,PRD00153,Grocery,13
WH01,Bangalore,PRD00154,Accessories,22
WH01,Bangalore,PRD00155,Home,8
WH01,Bangalore,PRD00156,Laptop,16
WH01,Bangalore,PRD00157,Electronics,18
WH01,Bangalore,PRD00158,Fashion,8
WH01,Bangalore,PRD00159,Fashion,17
WH01,Bangalore,PRD00160,Mobile,11
WH01,Bangalore,PRD00161,Home,15
WH01,Bangalore,PRD00162,Fashion,15
WH01,Bangalore,PRD00163,Beauty,14
