product_id,category,price,weight_kg,volume_m3
PRD00001,Home,1904.31,3.65,0.267
PRD00002,Beauty,4820.04,5.92,0.324
PRD00003,Electronics,408.76,2.44,0.401
PRD00004,Laptop,2476.88,15.95,0.306
PRD00005,Home,3830.69,5.79,0.209
PRD00006,Beauty,1918.38,5.62,0.045
PRD00007,Electronics,999.52,8.04,0.029
PRD00008,Home,865.68,19.21,0.068
PRD00009,Accessories,474.68,14.5,0.108
PRD00010,Mobile,1580.24,20.93,0.102
PRD00011,Electronics,3879.28,22.02,0.115
PRD00012,Beauty,201.96,15.55,0.025
PRD00013,Mobile,1237.18,23.63,0.39
PRD00014,Grocery,3733.21,10.08,0.214
PRD00015,Mobile,1393.84,9.45,0.404
PRD00016,Accessories,3192.06,15.3,0.103
PRD00017,Laptop,1744.72,16.98,0.066
PRD00018,Fashion,353.41,21.01,0.257
PRD00019,Electronics,1391.24,21.92,0.037
PRD00020,Mobile,368.32,5.6,0.286
PRD00021,Electronics,1559.4,13.15,0.32
PRD00022,Accessories,861.5,0.18,0.199
PRD00023,Home,2894.59,4.95,0.042
PRD00024,Beauty,942.67,20.64,0.114
PRD00025,Grocery,687.91,16.85,0.217
PRD00026,Accessories,1363.59,23.21,0.108
PRD00027,Fashion,1148.74,22.95,0.11
PRD00028,Home,602.21,20.89,0.176
PRD00029,Electronics,1280.37,13.1,0.421
PRD00030,Electronics,549.18,2.66,0.326
PRD00031,Electronics,858.35,10.34,0.238
PRD00032,Home,999.75,9.29,0.319
PRD00033,Grocery,585.15,11.37,0.366
PRD00034,Electronics,689.4,22.3,0.335
PRD00035,Accessories,3315.1,4.8,0.378
PRD00036,Electronics,632.64,12.07,0.143
PRD00037,Grocery,605.02,15.54,0.335
PRD00038,Grocery,4307.03,9.89,0.493
PRD00039,Laptop,1434.38,5.96,0.092
PRD00040,Grocery,1070.81,15.81,0.278
PRD00041,Grocery,1249.4,0.13,0.232
PRD00042,Laptop,1108.34,7.74,0.22
PRD00043,Mobile,1834.66,14.53,0.21
PRD00044,Accessories,517.12,8.61,0.303
PRD00045,Mobile,8014.29,19.35,0.484
PRD00046,Beauty,317.91,10.33,0.219
PRD00047,Beauty,762.26,10.44,0.155
PRD00048,Home,2997.18,3.16,0.375
PRD00049,Beauty,1101.01,4.88,0.162
PRD00050,Grocery,2346.71,2.2,0.417
PRD00051,Electronics,1525.42,19.33,0.366
PRD00052,Home,1112.41,11.01,0.181
PRD00053,Home,707.78,11.83,0.264
PRD00054,Mobile,785.46,4.52,0.181
PRD00055,Electronics,2478.73,12.26,0.391
PRD00056,Home,544.27,2.39,0.165
PRD00057,Grocery,808.73,10.13,0.138
PRD00058,Electronics,250.7,20.47,0.454
PRD00059,Electronics,1967.22,14.76,0.175
PRD00060,Home,2444.8,22.97,0.328
PRD00061,Electronics,997.63,10.36,0.048
PRD00062,Mobile,2397.79,8.5,0.199
PRD00063,Electronics,74.61,22.96,0.259
PRD00064,Laptop,586.8,21.15,0.073
PRD00065,Accessories,2987.94,3.98,0.13
PRD00066,Laptop,7389.37,12.56,0.265
PRD00067,Fashion,473.75,19.59,0.116
PRD00068,Electronics,583.75,22.48,0.466
PRD00069,Beauty,907.85,9.67,0.435
PRD00070,Beauty,846.48,3.14,0.179
PRD00071,Home,2559.81,8.97,0.482
PRD00072,Fashion,2356.18,8.88,0.311
PRD00073,Laptop,2955.61,8.99,0.211
PRD00074,Grocery,1604.77,10.51,0.039
PRD00075,Accessories,2223.25,20.53,0.36
PRD00076,Mobile,2022.36,14.85,0.286
PRD00077,Mobile,706.68,12.26,0.083
PRD00078,Mobile,1043.42,0.33,0.368
PRD00079,Fashion,557.85,1.73,0.488
PRD00080,Home,3715.13,3.86,0.249
PRD00081,Accessories,653.54,12.87,0.106
PRD00082,Beauty,795.61,9.08,0.307
PRD00083,Home,1523.45,5.88,0.351
PRD00084,Accessories,161.96,15.9,0.35
PRD00085,Fashion,1607.05,15.64,0.072
PRD00086,Beauty,954.3,24.38,0.289
PRD00087,Fashion,517.71,11.11,0.369
PRD00088,Home,3517.9,21.65,0.481
PRD00089,Fashion,1110.46,2.28,0.293
PRD00090,Beauty,1169.63,5.19,0.328
PRD00091,Mobile,1372.58,16.56,0.455
PRD00092,Electronics,207.29,19.84,0.02
PRD00093,Beauty,652.43,14.76,0.298
PRD00094,Grocery,1569.8,19.4,0.409
PRD00095,Accessories,2858.14,16.7,0.084
PRD00096,Fashion,2396.23,17.15,0.241
PRD00097,Mobile,1995.97,5.84,0.239
PRD00098,Home,912.48,1.68,0.318
PRD00099,Laptop,1310.28,5.25,0.252
PRD00100,Home,11326.14,11.53,0.021
PRD00101,Fashion,834.18,24.32,0.238
PRD00102,Home,1350.12,18.78,0.275
PRD00103,Mobile,1956.11,1.72,0.458
PRD00104,Beauty,2812.2,19.23,0.119
PRD00105,Laptop,1955.83,17.55,0.053
PRD00106,Electronics,469.58,22.64,0.376
PRD00107,Home,1060.7,2.25,0.454
PRD00108,Accessories,1393.7,20.34,0.01
PRD00109,Accessories,912.74,8.85,0.436
PRD00110,Mobile,1108.97,16.88,0.427
PRD00111,Electronics,3613.54,12.21,0.256
PRD00112,Accessories,1406.29,14.99,0.079
PRD00113,Electronics,2354.72,4.07,0.195
PRD00114,Fashion,1492.45,23.02,0.163
PRD00115,Fashion,1429.24,21.1,0.08
PRD00116,Grocery,2216.77,19.7,0.025
