source,destination,dispatch_type,transfer_id,transfer_ids,status,vehicle_id,vehicle_capacity_kg,vehicle_volume_m3,distance_km,trip_hours,departure_hour,arrival_hour,return_hour,weight_kg,volume_m3,weight_utilization,volume_utilization,overall_utilization,fuel_litres,fuel_cost,deadline_days,deadline_status
WH01,WH02,URGENT_DISPATCH,TRF00002,,SCHEDULED,VEH025,2000.0,25.0,35.0,1.375,0.0,1.375,2.75,261.8,1.32,0.13090000000000002,0.0528,0.09185000000000001,4.2997542997543,429.97542997542996,1.0,ON_TIME
WH01,WH03,URGENT_DISPATCH,TRF00003,,SCHEDULED,VEH025,2000.0,25.0,145.0,4.125,2.75,6.875,11.0,203.22,3.573,0.10161,0.14292,0.122265,17.813267813267814,1781.3267813267814,1.0,ON_TIME
WH01,WH04,URGENT_DISPATCH,TRF00025,,SCHEDULED,VEH025,2000.0,25.0,350.0,9.25,11.0,20.25,29.5,14.55,6.555,0.007275,0.2622,0.13473749999999998,42.99754299754299,4299.7542997543,1.0,ON_TIME
WH02,WH01,URGENT_DISPATCH,TRF00016,,SCHEDULED,VEH004,1000.0,10.0,35.0,1.375,0.0,1.375,2.75,33.96,3.816,0.033960000000000004,0.3816,0.20778,2.3011176857330704,230.11176857330705,1.0,ON_TIME
WH05,WH01,URGENT_DISPATCH,TRF00028,,SCHEDULED,VEH040,5000.0,50.0,575.0,14.875,0.0,14.875,29.75,110.52,2.208,0.022104,0.044160000000000005,0.033132,33.983451536643024,3398.3451536643024,1.0,ON_TIME
WH05,WH02,URGENT_DISPATCH,TRF00015,,SCHEDULED,VEH017,5000.0,50.0,560.0,14.5,0.0,14.5,29.0,194.16,4.692,0.038832,0.09384,0.066336,46.58901830282862,4658.901830282862,1.0,ON_TIME
WH05,WH04,URGENT_DISPATCH,TRF00021,,SCHEDULED,VEH040,5000.0,50.0,630.0,16.25,29.75,46.0,62.25,89.28,1.308,0.017856,0.026160000000000003,0.022008,37.234042553191486,3723.4042553191484,1.0,MISSED_DEADLINE
WH01,WH02,CONSOLIDATED_DISPATCH,,"TRF00001,TRF00007,TRF00024,TRF00030",SCHEDULED,VEH025,2000.0,25.0,35.0,1.375,29.5,30.875,32.25,540.66,18.204,0.27032999999999996,0.72816,0.499245,4.2997542997543,429.97542997542996,,NO_DEADLINE
WH01,WH05,CONSOLIDATED_DISPATCH,,TRF00009,SCHEDULED,VEH025,2000.0,25.0,575.0,14.875,32.25,47.125,62.0,50.64,1.036,0.02532,0.041440000000000005,0.03338,70.63882063882063,7063.882063882063,,NO_DEADLINE
WH02,WH03,CONSOLIDATED_DISPATCH,,TRF00022,SCHEDULED,VEH004,1000.0,10.0,125.0,3.625,2.75,6.375,10.0,258.3,1.005,0.25830000000000003,0.10049999999999999,0.1794,8.21827744904668,821.827744904668,,NO_DEADLINE
WH02,WH04,CONSOLIDATED_DISPATCH,,"TRF00013,TRF00017",SCHEDULED,VEH004,1000.0,10.0,335.0,8.875,10.0,18.875,27.75,159.44,2.8080000000000003,0.15944,0.28080000000000005,0.22012000000000004,22.0249835634451,2202.4983563445103,,NO_DEADLINE
WH03,WH01,CONSOLIDATED_DISPATCH,,TRF00011,SCHEDULED,VEH001,1000.0,10.0,145.0,4.125,0.0,4.125,8.25,122.94,2.799,0.12294,0.2799,0.20142,13.425925925925926,1342.5925925925926,,NO_DEADLINE
WH03,WH02,CONSOLIDATED_DISPATCH,,"TRF00010,TRF00026",SCHEDULED,VEH024,5000.0,50.0,125.0,3.625,0.0,3.625,7.25,53.040000000000006,4.214,0.010608000000000001,0.08428000000000001,0.04744400000000001,12.43781094527363,1243.7810945273632,,NO_DEADLINE
WH03,WH04,CONSOLIDATED_DISPATCH,,TRF00029,SCHEDULED,VEH001,1000.0,10.0,430.0,11.25,8.25,19.5,30.75,12.78,2.997,0.01278,0.29969999999999997,0.15624,39.81481481481481,3981.481481481481,,NO_DEADLINE
WH03,WH05,CONSOLIDATED_DISPATCH,,TRF00012,SCHEDULED,VEH024,5000.0,50.0,700.0,18.0,7.25,25.25,43.25,307.58,6.396,0.061515999999999994,0.12792,0.094718,69.65174129353234,6965.174129353234,,NO_DEADLINE
WH04,WH02,CONSOLIDATED_DISPATCH,,TRF00018,SCHEDULED,VEH031,1000.0,10.0,335.0,8.875,0.0,8.875,17.75,38.7,2.03,0.038700000000000005,0.20299999999999999,0.12085,19.67116852613036,1967.116852613036,,NO_DEADLINE
WH04,WH03,CONSOLIDATED_DISPATCH,,"TRF00020,TRF00006",SCHEDULED,VEH030,5000.0,50.0,430.0,11.25,0.0,11.25,22.5,238.82,3.009,0.047764,0.06018,0.053972,25.73309395571514,2573.309395571514,,NO_DEADLINE
WH04,WH05,CONSOLIDATED_DISPATCH,,TRF00023,SCHEDULED,VEH036,500.0,5.0,630.0,16.25,0.0,16.25,32.5,44.46,1.854,0.08892,0.3708,0.22986,40.59278350515464,4059.2783505154644,,NO_DEADLINE
WH05,WH02,CONSOLIDATED_DISPATCH,,"TRF00027,TRF00004,TRF00014",SCHEDULED,VEH017,5000.0,50.0,560.0,14.5,29.0,43.5,58.0,459.08,4.486,0.091816,0.08972,0.09076799999999999,46.58901830282862,4658.901830282862,,NO_DEADLINE
WH05,WH03,CONSOLIDATED_DISPATCH,,"TRF00005,TRF00008,TRF00019",SCHEDULED,VEH040,5000.0,50.0,700.0,18.0,62.25,80.25,98.25,138.71,2.137,0.027742000000000003,0.04274,0.035241,41.371158392434985,4137.115839243498,,NO_DEADLINE
