vehicle_id,warehouse_id,capacity_kg,volume_capacity_m3,fuel_efficiency_kmpl,available
VEH001,WH03,1000,10,10.8,1
VEH002,WH03,5000,50,13.16,0
VEH003,WH03,5000,50,14.04,0
VEH004,WH02,1000,10,15.21,1
VEH005,WH03,2000,25,12.02,0
VEH006,WH05,5000,50,16.98,0
VEH007,WH02,5000,50,8.26,0
VEH008,WH03,5000,50,7.11,1
VEH009,WH02,5000,50,7.81,1
VEH010,WH04,5000,50,6.42,1
VEH011,WH02,1000,10,10.78,0
VEH012,WH04,500,5,10.16,0
VEH013,WH04,500,5,7.93,0
VEH014,WH05,5000,50,14.24,0
VEH015,WH04,5000,50,11.07,0
VEH016,WH03,5000,50,9.1,0
VEH017,WH05,5000,50,12.02,1
VEH018,WH03,2000,25,7.34,0
VEH019,WH04,5000,50,16.44,0
VEH020,WH02,500,5,10.05,1
VEH021,WH02,5000,50,11.22,1
VEH022,WH03,500,5,7.46,1
VEH023,WH04,2000,25,6.6,1
VEH024,WH03,5000,50,10.05,1
VEH025,WH01,2000,25,8.14,1
VEH026,WH04,500,5,11.36,1
VEH027,WH01,500,5,10.29,0
VEH028,WH05,5000,50,8.98,0
VEH029,WH05,500,5,7.51,0
VEH030,WH04,5000,50,16.71,1
VEH031,WH04,1000,10,17.03,1
VEH032,WH01,500,5,9.92,0
VEH033,WH02,500,5,10.58,0
VEH034,WH03,2000,25,11.07,0
VEH035,WH02,2000,25,14.66,0
VEH036,WH04,500,5,15.52,1
VEH037,WH03,1000,10,14.33,0
VEH038,WH03,5000,50,8.58,1
VEH039,WH03,1000,10,9.32,0
VEH040,WH05,5000,50,16.92,1
